,Response
813,0
2111,0
1775,1
1662,0
768,0
770,0
2051,0
1252,1
2136,0
262,0
1181,0
213,0
821,0
1609,0
803,0
1202,0
1865,1
503,0
814,0
1832,0
39,1
2105,0
1759,0
1981,1
256,0
1736,0
718,0
1164,0
1664,0
1954,0
973,0
60,1
2197,0
1380,0
1342,1
1484,0
1444,0
1714,0
1903,0
204,0
0,1
407,0
1244,0
1508,0
584,0
2033,0
827,0
1381,0
2165,0
1790,0
2113,0
1942,0
1186,0
1011,0
351,0
673,0
216,0
2204,0
1267,0
639,0
17,0
1401,0
1584,1
1848,0
263,0
1223,0
1888,0
470,0
402,0
540,0
1527,0
1171,0
353,0
134,0
1717,0
1305,0
704,0
380,0
1429,0
634,1
498,0
1628,1
1554,0
253,0
1216,0
1318,0
979,0
1575,0
657,0
206,0
765,0
354,0
913,1
1235,0
716,1
538,0
1117,1
484,0
2044,0
1533,1
1302,0
19,0
1053,1
109,0
830,0
26,0
1416,0
1165,0
1643,0
1765,0
268,0
2188,0
2159,0
1314,0
469,0
526,0
1182,1
1834,1
591,1
1025,0
1395,0
1311,0
1754,0
1770,1
153,0
1471,0
1690,0
1639,0
1918,0
525,0
826,0
2047,0
16,0
1720,0
229,0
1356,0
1864,1
780,0
1454,0
2138,0
2028,1
194,0
2132,0
1093,0
127,0
373,0
1339,1
583,0
648,0
1170,0
852,0
1924,0
1741,0
384,0
1135,0
358,0
311,0
1991,0
119,0
1992,1
251,0
1347,0
446,0
117,0
14,0
1878,0
236,0
67,1
1712,0
2179,0
695,0
166,0
825,0
901,0
271,0
1898,0
937,0
904,0
635,0
83,0
125,0
324,0
530,0
1049,0
2066,0
115,0
609,0
1414,0
943,1
2147,0
2069,0
1921,0
1213,0
1301,1
731,0
1747,0
1423,0
1127,0
1045,0
1989,0
698,0
801,0
335,0
643,0
1118,0
1686,1
2036,0
1572,1
994,0
1678,0
1564,0
1130,0
1015,0
61,0
545,0
2184,0
224,0
382,0
105,0
1063,0
1185,0
171,0
2224,0
81,0
1389,0
677,0
670,0
1278,0
364,0
65,1
1054,0
188,0
1428,0
347,1
753,1
703,1
1247,0
235,0
561,0
1993,0
1835,0
1102,0
479,0
1325,0
1743,1
1018,0
277,0
749,1
2217,0
2214,0
982,0
1259,0
873,0
553,0
365,0
2142,0
1402,0
453,0
746,0
558,0
1081,1
381,0
1883,0
582,0
1866,0
1749,0
983,0
1960,0
991,0
776,0
655,0
1275,0
341,0
585,0
1516,0
1474,0
2185,0
424,0
208,0
1191,1
451,0
1815,0
1872,0
2,0
1459,1
1540,0
1854,1
395,0
702,0
404,1
905,0
1594,0
1002,1
2000,0
1943,0
587,0
1711,1
554,1
836,0
2104,0
338,1
841,0
1565,0
757,0
1129,1
2153,0
1239,0
69,0
1971,0
1964,0
9,0
790,0
1281,1
719,0
1977,0
349,0
1757,1
1841,1
816,0
618,0
524,1
712,0
226,0
1438,0
1255,1
811,1
252,1
1125,1
1983,0
1526,0
408,0
1858,0
2194,1
247,0
527,0
1194,0
659,0
379,0
1365,1
556,0
2221,1
1528,1
31,0
1705,0
985,0
178,0
1767,0
1795,0
369,0
1952,0
120,0
551,1
1941,0
574,0
1472,0
559,1
433,0
1929,0
1831,0
1173,0
1228,0
1354,1
1935,0
1843,0
1328,0
705,0
970,0
2048,1
1269,0
1675,0
693,0
1330,0
2019,0
1975,0
1370,0
1408,0
1824,0
1937,1
1773,0
2041,0
1998,0
291,0
598,0
327,0
1666,0
1513,0
418,1
1498,0
1105,0
1095,0
1449,0
1079,0
2116,0
619,0
1780,0
1398,0
1855,0
593,0
1086,0
1246,0
1478,0
376,1
2108,0
2161,0
132,0
1493,0
86,0
1288,1
1322,0
355,0
442,0
155,1
652,0
2070,0
1870,0
1027,0
1926,0
1009,0
1446,0
448,0
106,0
1635,0
98,0
2088,0
759,0
1153,1
956,1
1077,0
1805,0
2137,0
1618,0
15,1
463,0
1442,1
1371,0
732,0
1567,0
1367,0
999,0
709,1
1715,0
669,0
761,0
608,0
2106,0
1394,0
1419,0
2151,0
1013,0
342,0
2007,0
482,1
1680,0
1908,0
1057,0
1973,0
1372,0
576,0
838,0
650,0
1933,0
792,0
1781,0
861,0
483,0
1183,0
1532,0
1159,0
122,0
143,0
131,0
357,0
1167,0
536,0
638,1
7,0
1956,0
570,0
1187,0
2223,0
1796,0
1740,0
1266,1
2173,0
1604,0
1932,0
1560,0
139,0
1137,1
102,0
925,0
1718,0
2171,1
1084,1
730,0
707,0
515,0
1005,1
1750,1
1310,0
1265,1
2154,0
1827,1
2146,0
954,0
1001,1
159,0
1209,0
549,0
890,0
614,1
286,0
2107,1
1703,0
1140,0
1109,0
2177,0
297,0
1451,0
931,0
1804,0
337,0
575,1
1120,0
2025,0
2065,0
2092,0
2018,0
1922,1
797,0
1195,0
1292,0
616,0
1890,0
103,0
1634,0
588,0
2109,1
501,0
249,0
1168,0
1894,0
496,0
1697,0
1073,0
1505,0
1313,0
230,1
1193,0
855,0
2145,1
1022,1
988,0
1214,0
1733,0
1098,0
1148,0
791,1
1657,0
739,0
378,0
2166,0
916,0
1996,1
1353,0
542,0
1427,0
1649,0
1390,0
1632,0
1309,0
1462,0
457,1
823,0
228,0
1378,0
1745,0
1522,0
844,0
680,0
1179,0
509,0
147,0
1620,0
1392,0
1699,0
1886,0
1324,0
1617,0
840,0
581,0
928,0
1817,1
1557,0
331,0
2135,0
1316,0
359,0
2126,0
1814,0
678,1
329,0
547,0
1426,0
2035,0
595,1
2172,0
959,0
1251,0
2191,0
1674,0
880,1
737,0
2162,0
907,0
1995,1
2157,0
1590,0
601,0
1231,0
1006,0
1569,0
2042,0
1141,0
974,0
1149,1
1573,0
1596,0
1238,0
2144,0
1836,0
38,0
29,0
432,0
1534,0
2176,0
1744,0
1160,0
1114,0
1963,1
1608,0
645,0
1650,0
733,0
1163,0
295,0
773,0
567,0
2062,0
1545,0
1839,1
543,1
1792,0
1155,0
1225,0
1661,0
592,0
1264,1
1494,0
1909,0
2238,0
1343,0
2186,0
1809,0
476,0
1704,1
1116,1
391,0
918,0
443,0
713,0
883,0
180,0
316,0
1576,1
1161,0
1782,0
2206,0
1786,0
894,1
2080,0
510,0
422,0
1363,0
1806,0
1820,0
2134,0
774,0
1587,0
933,0
2031,0
566,0
637,0
486,0
261,0
842,0
454,0
927,0
2082,0
1465,0
1243,0
59,0
56,1
